row_num,title,brand,ratings_cleaned,unit_sold_last_month,current/discounted_price,price_on_variant,listed_price,is_best_seller,is_sponsored,is_couponed,buy_box_availability,delivery_date,sustainability_badges,collected_at
1,"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life","Amazon Basics",4.7,100000,14.99,NULL,NULL,yes,no,no,"In Stock",2025-08-29,"Safer chemicals","2025-08-21 11:14:29"
1,"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)","Amazon Basics",4.7,100000,14.49,NULL,NULL,yes,no,no,"In Stock",2025-08-29,"Safer chemicals","2025-08-21 11:14:29"
1,"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil","Amazon Basics",4.8,100000,16.98,13.88,NULL,yes,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black","Amazon Basics",4.7,10000,11.06,10.12,NULL,yes,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:46"
1,"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White","Amazon Basics",4.8,80000,39.97,38.86,NULL,yes,no,no,"In Stock",2025-09-01,"sustainability certification","2025-08-21 11:14:29"
1,"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow","Amazon Basics",4.8,100000,9.89,8.87,14.33,no,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",Apple,4.8,10000,NULL,880.95,NULL,yes,no,no,"Out of Stock",NULL,"Energy efficiency","2025-08-21 11:14:29"
1,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",Apple,4.5,10000,NULL,88.11,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",Apple,4.6,10000,NULL,162.24,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",Apple,4.8,10000,NULL,72.74,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",Apple,4.6,10000,NULL,23.04,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",Apple,4.6,10000,NULL,16.10,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life â€” Blue",Apple,4.7,10000,NULL,284.05,NULL,yes,no,no,"Out of Stock",NULL,"Energy efficiency","2025-08-21 11:14:29"
1,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",Apple,4.6,10000,NULL,146.14,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
